ano_registro,id_producto,ano_publicacion,titulo,tipo_producto,tipo autor principal,autor principal,autores,documento
2014,100300081,2014,"Ciencia, Tecnología e Innovación para la Competitividad de las Cadenas Agroalimentarias de Nayarit",Libro con arbitraje nacional,"Interno,Interno","Salazar Solano Vidal,Núñez Noriega Luis","*Salazar Solano Vidal,*Núñez Noriega Luis",http://200.23.35.7/archivos/productos/investigacion/libros/100300081_1.pdf
2014,100300090,2014,Desarrollo económico territorial. Visión y experiencias desde la región norte de México,Libro con arbitraje nacional,Interno,Wong González Pablo,"*Wong González Pablo,Núñez Noriega Luis,Salazar Solano Vidal",http://200.23.35.7/archivos/productos/investigacion/libros/100300090_1.pdf
2014,100300088,2013,Mediación escolar para profesores de Educación Media Superior,Libro con arbitraje regional,Interno,Vera Noriega José Angel,"*Vera Noriega José Angel,TANORI QUINTANA JESUS,Martinez Ortega Lydia Esther  ",http://200.23.35.7/archivos/productos/investigacion/libros/100300088_1.pdf
2014,100300089,2014,Mejora continua del Programa Nacional de Lectura en Sonora,Libro con arbitraje regional,Interno,Vera Noriega José Angel,"Peña Ramos Martha Olivia,Dominguez Guedea Rosario Leticia  ,*Vera Noriega José Angel",http://200.23.35.7/archivos/productos/investigacion/libros/100300089_1.pdf
2015,100300091,2015,Sexo entre varones. Poder y resistencia en el campo sexual,Libro con arbitraje nacional,Interno,Núñez Noriega Guillermo,*Núñez Noriega Guillermo,http://200.23.35.7/archivos/productos/investigacion/libros/100300091_5.pdf
2015,100300096,2015,Gente de carne y trigo. Comida y Consumo de Alimentos en Sonora,Libro con arbitraje nacional,"Interno,Externo","Sandoval Godoy Sergio Alfonso,Camarena Gómez Dena María Jesús","*Sandoval Godoy Sergio Alfonso,*Camarena Gómez Dena María Jesús",http://200.23.35.7/archivos/productos/investigacion/libros/100300096_1.pdf
2015,100300098,2015,Aprendiendo a exportar ganado. Asesoría y financiamiento con los pequeños criadores de la sierra de Álamos.,Libro con arbitraje nacional,Interno,Salazar Solano Vidal,"*Salazar Solano Vidal,Herrera Pineda Ramiro,Moreno Dena Jesús Mario,Salazar Velázquez Ricardo",http://200.23.35.7/archivos/productos/investigacion/libros/100300098_1.pdf
2016,100300102,2016,¿Qué es la diversidad sexual?,Libro con arbitraje internacional,Interno,Núñez Noriega Guillermo,*Núñez Noriega Guillermo,http://200.23.35.7/archivos/productos/investigacion/libros/100300102_1.pdf
2016,100300107,2016,La violencia escolar en México: Temas y Perspectivas de abordaje,Libro con arbitraje nacional,"Interno,Estudiante","Vera Noriega José Angel,Valdés Cuervo Angel Alberto","*Vera Noriega José Angel,*Valdés Cuervo Angel Alberto",http://200.23.35.7/archivos/productos/investigacion/libros/100300107_1.pdf
2016,100300113,2016,Complejos Bioculturales de Sonora: pueblos y territorios indígenas,Libro con arbitraje nacional,Interno,Luque Agraz Diana María Perfecta,"*Luque Agraz Diana María Perfecta,Martínez Yrizar Angelina,Búrquez Alberto,López Cruz Gerardo,Murphy Arthur",http://200.23.35.7/archivos/productos/investigacion/libros/100300113_1.pdf
2016,100300100,2015,ALIMENTACION PARA PERSONAS CON DIABETES Y SU FAMILIA,Libro con arbitraje regional,Externo,Orozco García M.E.,"Grijalva Haro María Isabel,*Orozco García M.E.,Cota Gastélum Alma Guadalupe,Espinoza López A.,Parra Vergara N.V.,Morales Valencia Rita Cecilia,Celaya Celaya Carla Elena,García Arroyo de Anda Gloria I.",http://200.23.35.7/archivos/productos/investigacion/libros/100300100_1.pdf
2016,100300101,2016,El comportamiento emprendedor del empresario y empresa en México,Libro sin arbitraje internacional,"Interno,Externo","Aguilar Valenzuela Francisco Alfonso,Montiel Campos Héctor","*Aguilar Valenzuela Francisco Alfonso,*Montiel Campos Héctor",http://200.23.35.7/archivos/productos/investigacion/libros/100300101_1.pdf
2016,100300108,2016,Orégano Lippia palmeri Watson Estudios Bioquímicos y Agronómicos,Libro sin arbitraje regional,Externo,Ortega-Nieblas María Magdalena,"Vázquez Moreno Luz,Robles Burgueño María del Refugio,*Ortega-Nieblas María Magdalena,McCaughey-Espinoza Diana",http://200.23.35.7/archivos/productos/investigacion/libros/100300108_1.pdf
2017,100300118,2017,Manual de buenas prácticas de manejo para la piscicultura de agua dulce,Libro sin arbitraje internacional,Externo,Morales Vielka,"Chávez Sánchez María Cristina,Vidal Martínez V.,Olvera Novoa Miguel Angel,*Morales Vielka,Cuéllar Anjel Jorge,Riofrio Montero Andrés,Morales Rodríguez Reinaldo,García Suárez Oscar,Montoya Rodríguez Leobardo,Barato Gómez Paola A.",http://200.23.35.7/archivos/productos/investigacion/libros/100300118_1.pdf
